Book Title,Authors,Chapter Title,Date of Highlight,Book URL,Chapter URL,Highlight URL,Highlight,Personal Note
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50099072/,time better spent writing application code.,"microservice needs to be created several, initial time is consideration. 1) java based can use spring boot, 2) golang based can use swaggle."
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50099061/,time better spent writing application code.,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098856/,"You see, autoconfiguration is much like the wind. You can see the effects of it, but there’s no code that I can show you",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098853/,It’s this lack of code that’s essential to autoconfiguration and what makes it so wonderful.,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098840/,Automatic configuration has its roots in the Spring techniques known as autowiring and component scanning.,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098832/,greater type safety and improved refactorability,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098830/,Java-based configuration offers several benefits,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098826/,"The @Configuration annotation indicates to Spring that this is a configuration class that will provide beans to the Spring application context. The configuration’s class methods are annotated with @Bean, indicating that the objects they return should be added as beans in the application context (where, by default, their respective bean IDs will be the same as the names of the methods that define them).",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098802/,"On top of its core container, Spring and a full portfolio of related libraries offer a web framework, a variety of data persistence options, a security framework, integration with other systems, runtime monitoring, microservice support, a reactive programming model, and many other features necessary for modern application development.",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098787/,"The act of wiring beans together is based on a pattern known as dependency injection (DI). Rather than have components create and maintain the lifecycle of other beans that they depend on, a dependency-injected application relies on a separate entity (the container) to create and maintain all components and inject those into the beans that need them. This is done typically through constructor arguments or property accessor methods.",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098761/,"At its core, Spring offers a container, often referred to as the Spring application context, that creates and manages application components. These components, or beans, are wired together inside the Spring application context to make a complete application, much like bricks, mortar, timber, nails, plumbing, and wiring are bound together to make a house.",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098740/,"Whether you’re developing a simple database-backed web application or constructing a modern application built around microservices, Spring is the framework that will help you achieve your goals.",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50098718/,"Although the Greek philosopher Heraclitus wasn’t well known as a software developer, he seemed to have a good handle on the subject. He has been quoted as saying, “The only constant is change.” That statement captures a foundational truth of software development.",
"Spring in Action, Fifth Edition",Craig Walls,Preface,2020-07-31,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_005.html,https://learning.oreilly.com/a/spring-in-action/49452652/,"What’s more, as developers look to break down their monolithic applications into discrete microservices, Spring Cloud provides facilities that make it easy to configure and discover microservices, as well as fortify them so they’re more resilient to failure.",
"Spring in Action, Fifth Edition",Craig Walls,Preface,2020-07-31,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_005.html,https://learning.oreilly.com/a/spring-in-action/49452630/,"The big story of Spring 5 is reactive programming support, including Spring WebFlux, a brand new reactive web framework that borrows its programming model from Spring MVC, allowing developers to create web applications that scale better and make better use of fewer threads.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48799043/,more the health of one impacts the ability of the other to do its job.,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48799042/,more autonomy those teams have,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48799036/,increasing isolation between services.,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48799013/,"bulkheads are the most important of these three patterns. Timeouts and circuit breakers help you free up resources when they are becoming constrained, but bulkheads can ensure they don’t become constrained in the first place.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48799000/,"Given the perils of cascading failure, I’d recommend mandating circuit breakers for all your synchronous downstream calls.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798961/,Separation of concerns can also be a way to implement bulkheads.,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798958/,"We should have used different connection pools for each downstream connection. That way, if one connection pool gets exhausted, the other connections aren’t impacted, as we see in Figure 11-3. This would ensure that if a downstream service started behaving slowly in the future, only that one connection pool would be impacted, allowing other calls to proceed as normal.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798946/,a bulkhead as a way to isolate yourself from failure.,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798939/,"For example, if we wanted to take a microservice down as part of routine maintenance, we could manually blow all the circuit breakers of the dependent systems so they fail fast while the microservice is offline. Once it’s back, we can reset the circuit breakers and everything should go back to normal.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798933/,"manually disable a circuit breaker to cut the power to part of your home, allowing you to work safely on the electrics.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798931/,"In your own home, circuit breakers exist to protect your electrical devices from spikes in the power.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798421/,"The Chaos Gorilla is used to take out an entire availability center (the AWS equivalent of a data center), whereas the Latency Monkey simulates slow network connectivity between machines.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798417/,"Chaos Monkey, which during certain hours of the day will turn off random machines.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48798410/,"Netflix also takes a more aggressive approach, by writing programs that cause failure and running them in production on a daily basis.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48768144/,"systems that just act slow are much harder to deal with than systems that just fail fast. In a distributed system, latency kills.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48767727/,"an example of a strangler application, where a new system intercepts calls made to legacy applications and gradually replaces them altogether.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-22,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48767637/,"architectural safety measures, that we can make use of to ensure that if something does go wrong, it doesn’t cause nasty ripple-out effects.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-21,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48707998/,"microservices that may be up or down, is the ability to safely degrade functionality.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-21,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48707995/,a resilient system,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-21,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48707953/,Durability of data,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-21,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48707917/,Availability,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-21,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48707849/,Response time/latency,
Building Microservices,Sam Newman,11. Microservices at Scale,2020-07-21,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/48707848/,"When it comes to considering if and how to scale out your system to better handle load or failure, start by trying to understand the following requirements:",
Building Microservices,Sam Newman,10. Conway’s Law and System Design,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch10.html,https://learning.oreilly.com/a/building-microservices/48486497/,This led famously to its two-pizza teams,
Building Microservices,Sam Newman,10. Conway’s Law and System Design,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch10.html,https://learning.oreilly.com/a/building-microservices/48486496/,two poster children for the idea that organizations and architecture should be aligned are Amazon and Netflix.,
Building Microservices,Sam Newman,10. Conway’s Law and System Design,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch10.html,https://learning.oreilly.com/a/building-microservices/48470751/,"loosely coupled organizations actually created more modular, less coupled systems, whereas the more tightly focused organization’s software was less modularized.",
Building Microservices,Sam Newman,9. Security,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch09.html,https://learning.oreilly.com/a/building-microservices/48470074/,don’t write your own crypto.,
Building Microservices,Sam Newman,9. Security,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch09.html,https://learning.oreilly.com/a/building-microservices/48468664/,"general overview of security for browser-based applications, a great place to start is the excellent Open Web Application Security Project (OWASP)",
Building Microservices,Sam Newman,9. Security,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch09.html,https://learning.oreilly.com/a/building-microservices/48468655/,don’t try to implement your own cryptography!,
Building Microservices,Sam Newman,9. Security,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch09.html,https://learning.oreilly.com/a/building-microservices/48468613/,"ability to trade off the overhead of more complex and secure approaches where data is sensitive, and a lighter-weight approach when the risks are lower.",
Building Microservices,Sam Newman,9. Security,2020-07-17,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch09.html,https://learning.oreilly.com/a/building-microservices/48468609/,core theme of the book—that having a system decomposed into finer-grained services gives us many more options as to how to solve a problem.,
Building Microservices,Sam Newman,8. Monitoring,2020-07-16,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch08.html,https://learning.oreilly.com/a/building-microservices/48359959/,this technique is often called semantic monitoring.,
Building Microservices,Sam Newman,8. Monitoring,2020-07-16,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch08.html,https://learning.oreilly.com/a/building-microservices/48359924/,This fake event we created is an example of synthetic transaction.,
Building Microservices,Sam Newman,8. Monitoring,2020-07-16,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch08.html,https://learning.oreilly.com/a/building-microservices/48351875/,to gather metrics about how your system behaves over a long-enough period of time,
Building Microservices,Sam Newman,8. Monitoring,2020-07-16,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch08.html,https://learning.oreilly.com/a/building-microservices/48351871/,It can be hard to know what good looks like,
Building Microservices,Sam Newman,8. Monitoring,2020-07-16,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch08.html,https://learning.oreilly.com/a/building-microservices/48351866/,Another key benefit of understanding your trends is when it comes to capacity planning.,
Building Microservices,Sam Newman,8. Monitoring,2020-07-16,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch08.html,https://learning.oreilly.com/a/building-microservices/48351841/,Graphite is one such system that makes this very easy.,
Building Microservices,Sam Newman,7. Testing,2020-07-16,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48312172/,Agile Testing by Lisa Crispin,
Building Microservices,Sam Newman,7. Testing,2020-07-15,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48289006/,"To reiterate the basics:

Optimize for fast feedback, and separate types of tests accordingly.

Avoid the need for end-to-end tests wherever possible by using consumer-driven contracts.

Use consumer-driven contracts to provide focus points for conversations between teams.",
Building Microservices,Sam Newman,7. Testing,2020-07-15,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48286553/,"CDCs are just like that. They become the codification of a set of discussions about what a service API should look like, and when they break, they become a trigger point to have conversations about how that API should evolve.",
Building Microservices,Sam Newman,7. Testing,2020-07-15,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48278383/,"When using a mock, I actually go further and make sure the call was made.",
Building Microservices,Sam Newman,7. Testing,2020-07-15,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48278378/,mocks can be very useful to ensure that the expected side effects happen.,
Building Microservices,Sam Newman,7. Testing,2020-07-15,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275963/,"where we had 4,000 unit tests, 1,000 service tests, and 60 end-to-end tests. ",count our ut
Building Microservices,Sam Newman,7. Testing,2020-07-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275863/,"When broader-scoped tests like our service or end-to-end tests fail, we will try to write a fast unit test to catch that problem in the future.",
Building Microservices,Sam Newman,7. Testing,2020-07-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275771/,"support refactoring of code, allowing us to restructure our code as we go, knowing that our small-scoped tests will catch us if we make a mistake.",
Building Microservices,Sam Newman,7. Testing,2020-07-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275769/,The prime goal of these tests is to give us very fast feedback about whether our functionality is good.,
Building Microservices,Sam Newman,7. Testing,2020-07-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275758/,much fewer moving parts and are therefore less brittle than larger-scoped tests.,
Building Microservices,Sam Newman,7. Testing,2020-07-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275375/,"split automated tests into Unit, Service, and UI, which you can see in Figure 7-2.",
Building Microservices,Sam Newman,7. Testing,2020-07-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275330/,to validate your software quickly and efficiently.,
Building Microservices,Sam Newman,7. Testing,2020-07-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch07.html,https://learning.oreilly.com/a/building-microservices/48275325/,in favor of automating as much as possible,
Building Microservices,Sam Newman,4. Integration,2020-07-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch04.html,https://learning.oreilly.com/a/building-microservices/48199639/,"choreography, we inform each part of the system of its job, and let it work out the details",
Building Microservices,Sam Newman,4. Integration,2020-07-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch04.html,https://learning.oreilly.com/a/building-microservices/48199637/,"orchestration, we rely on a central brain to guide and drive the process",
Building Microservices,Sam Newman,4. Integration,2020-07-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch04.html,https://learning.oreilly.com/a/building-microservices/48199595/,"Instead of a client initiating requests asking for things to be done, it instead says this thing happened and expects other parties to know what to do.",
Building Microservices,Sam Newman,4. Integration,2020-07-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch04.html,https://learning.oreilly.com/a/building-microservices/48199417/,Ideal Integration Technology,
Building Microservices,Sam Newman,2. The Evolutionary Architect,2020-07-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch02.html,https://learning.oreilly.com/a/building-microservices/48196612/,"These are our service boundaries, or perhaps coarse-grained groups of services. As architects, we need to worry much less about what happens inside the zone than what happens between the zones.",
Building Microservices,Sam Newman,2. The Evolutionary Architect,2020-07-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch02.html,https://learning.oreilly.com/a/building-microservices/48196520/,And they need to ensure that it is a system that makes users and developers equally happy.,
Building Microservices,Sam Newman,2. The Evolutionary Architect,2020-07-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch02.html,https://learning.oreilly.com/a/building-microservices/48196475/,architects have a duty to ensure that the system is habitable for developers too.,
